date,game visitor,chief,crew1,crew2
1124,Charlotte,Tyler Ford,Lauren Holtkamp,Matt Myers
1124,Brooklyn,Tony Brothers,Matt Boland,Evan Scott
1124,Chicago,Tre Maddox,Brent Barnaky,Phenizee Ransom
1124,Toronto,James Capers,Mitchell Ervin,Robert Hussey
1124,Detroit,Bill Kennedy,Kevin Cutler,Danielle Scott
1124,Miami,Curtis Blair,Michael Smith,Andy Nagy
1124,Washington,Eric Lewis,Dedric Taylor,Cheryl Flores
1124,Utah,Marc Davis,Marat Kogut,Brandon Schwab
1124,Atlanta,Kevin Scott,Jacyn Goble,Gediminas Petraitis
1124,Philadelphia,Kane Fitzgerald,Ben Taylor,Brandon Adair
1124,Portland,James Williams,Derrick Collins,Jonathan Sterling
1126,Detroit,Brian Forte,Brandon Adair,Mousa Dagher
1126,Minnesota,Scott Foster,Scott Wall,Robert Hussey
1126,Phoenix,Rodney Mott,J.T. Orr,Matt Boland
1126,Chicago,Eric Lewis,Kevin Cutler,Jenna Reneau
1126,Toronto,Bill Kennedy,Mark Lindsay,Bennie Adams
1126,Atlanta,Sean Wright,Michael Smith,Danielle Scott
1126,Washington,Tre Maddox,Derrick Collins,Marat Kogut
1126,Boston,Marc Davis,Lauren Holtkamp,Phenizee Ransom
1126,Milwaukee,Josh Tiven,Gediminas Petraitis,Jonathan Sterling
1126,New Orleans,Kevin Scott,Derek Richardson,Justin Van Duyne
1126,Portland,Zach Zarba,Leon Wood,Andy Nagy
1126,Sacramento,David Guthrie,Ben Taylor,Brett Nansel
1127,Minnesota,Sean Corbin,Jacyn Goble,Mitchell Ervin
1127,New York,Ed Malloy,Kevin Cutler,Jenna Reneau
1127,Phoenix,Pat Fraher,JB DeRosa,Aaron Smith
1127,Orlando,James Capers,Tom Washington,Evan Scott
1127,Miami,James Williams,Dedric Taylor,Danielle Scott
1127,Charlotte,Courtney Kirkland,Ray Acosta,Jenna Schroeder
1127,Washington,John Goble,Karl Lane,Brandon Schwab
