Rk,Player,Team,Streak,Streak Started,Streak Ended,Active,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TpDbs,DbDbs,TOV,PF,PTS,GmSc,+/-,BPM,Ind. Games Link,Player-additional
120,De'Aaron Fox,SAC,2,2021-12-08,2021-12-10,,2,2,67,23,35,.657,20,29,.690,3,6,.500,15,18,.833,.746,0,5,5,6,5,1,0,0,3,6,64,26.8,-9,8.4,Games List,foxde01
121,Joel Embiid,PHI,2,2021-12-06,2021-12-08,,2,2,74,23,37,.622,21,33,.636,2,4,.500,27,33,.818,.728,2,21,23,11,2,0,0,1,4,7,75,33.3,6,13.0,Games List,embiijo01
122,Shai Gilgeous-Alexander,OKC,2,2021-12-01,2021-12-06,,2,2,75,21,46,.457,20,36,.556,1,10,.100,26,31,.839,.578,1,5,6,15,0,3,0,1,4,5,69,26.0,-9,4.1,Games List,gilgesh01
123,Zach LaVine,CHI,2,2021-12-04,2021-12-06,,2,2,76,22,43,.512,17,25,.680,5,18,.278,14,17,.824,.624,0,11,11,14,1,1,0,0,3,4,63,25.4,13,8.9,Games List,lavinza01
124,Darius Garland,CLE,2,2021-12-03,2021-12-05,,2,2,69,22,36,.611,12,22,.545,10,14,.714,9,9,1.000,.788,3,9,12,15,5,1,0,1,11,7,63,26.9,22,15.8,Games List,garlada01
125,Terry Rozier,CHO,2,2021-11-27,2021-11-29,,2,2,80,20,40,.500,8,17,.471,12,23,.522,10,10,1.000,.698,1,4,5,9,1,2,0,0,2,2,62,24.9,-17,4.5,Games List,roziete01
126,Stephen Curry,GSW,2,2021-11-26,2021-11-28,,2,2,73,24,47,.511,11,19,.579,13,28,.464,4,5,.800,.661,0,12,12,14,7,0,0,0,6,6,65,26.7,32,14.4,Games List,curryst01
127,Joel Embiid,PHI,2,2021-11-06,2021-11-27,,2,2,79,23,42,.548,17,33,.515,6,9,.667,20,28,.714,.663,3,27,30,6,1,4,0,2,10,5,72,27.4,27,9.1,Games List,embiijo01
128,Anthony Davis,LAL,2,2021-11-19,2021-11-21,,2,2,77,23,40,.575,23,36,.639,0,4,.000,15,19,.789,.631,2,14,16,8,4,8,0,1,3,6,61,28.0,-9,8.7,Games List,davisan02
129,Jordan Poole,GSW,2,2021-11-19,2021-11-21,,2,2,68,23,35,.657,11,16,.688,12,19,.632,7,8,.875,.844,2,9,11,6,0,0,0,0,9,9,65,22.5,32,7.8,Games List,poolejo01
130,Zach LaVine,CHI,2,2021-11-17,2021-11-19,,2,2,74,25,44,.568,14,23,.609,11,21,.524,5,6,.833,.708,0,11,11,6,1,1,0,0,6,1,66,23.8,-1,9.3,Games List,lavinza01
131,Jimmy Butler,MIA,2,2021-11-17,2021-11-18,,2,2,71,21,37,.568,20,34,.588,1,3,.333,20,22,.909,.675,3,10,13,15,4,1,1,1,4,1,63,30.3,20,14.8,Games List,butleji01
132,Stephen Curry,GSW,2,2021-11-16,2021-11-18,,2,2,64,27,46,.587,9,16,.563,18,30,.600,5,5,1.000,.799,0,11,11,11,4,1,0,0,5,8,77,31.6,24,23.8,Games List,curryst01
133,Nikola Jokić,DEN,2,2021-11-15,2021-11-18,,2,2,72,25,43,.581,20,33,.606,5,10,.500,10,15,.667,.655,4,22,26,13,0,3,0,2,4,4,65,29.0,-6,17.9,Games List,jokicni01
134,DeMar DeRozan,CHI,2,2021-11-14,2021-11-15,,2,2,73,27,39,.692,24,33,.727,3,6,.500,16,17,.941,.785,1,9,10,11,1,1,0,0,5,5,73,31.0,31,13.6,Games List,derozde01
135,Trae Young,ATL,2,2021-11-12,2021-11-14,,2,2,64,25,42,.595,14,24,.583,11,18,.611,11,12,.917,.761,3,10,13,19,2,0,0,1,10,7,72,29.9,3,22.2,Games List,youngtr01
136,Tyrese Maxey,PHI,2,2021-11-09,2021-11-11,,2,2,79,24,43,.558,19,31,.613,5,12,.417,11,11,1.000,.669,1,8,9,9,2,3,0,0,2,4,64,26.7,-17,8.9,Games List,maxeyty01
137,Ja Morant,MEM,2,2021-11-08,2021-11-10,,2,2,78,23,51,.451,19,39,.487,4,12,.333,15,17,.882,.556,3,10,13,16,4,1,0,0,6,4,65,25.6,10,7.9,Games List,moranja01
138,Donovan Mitchell,UTA,2,2021-11-02,2021-11-06,,2,2,69,28,58,.483,19,31,.613,9,27,.333,8,10,.800,.585,5,3,8,13,3,0,0,0,5,7,73,25.8,24,9.5,Games List,mitchdo01
139,Giannis Antetokounmpo,MIL,2,2021-10-25,2021-10-27,,2,2,71,25,41,.610,22,33,.667,3,8,.375,17,22,.773,.691,5,21,26,16,1,5,0,2,4,3,70,34.8,23,19.6,Games List,antetgi01
140,Anthony Davis,LAL,2,2021-10-26,2021-10-27,,2,2,79,27,53,.509,27,48,.563,0,5,.000,11,13,.846,.553,11,14,25,6,1,4,0,1,4,3,65,26.3,-4,3.0,Games List,davisan02
141,Trae Young,ATL,2,2021-10-25,2021-10-27,,2,2,68,26,48,.542,22,37,.595,4,11,.364,7,7,1.000,.617,1,8,9,16,1,0,0,0,5,2,63,24.7,9,9.6,Games List,youngtr01
142,Jayson Tatum,BOS,2,2021-10-24,2021-10-25,,2,2,78,26,52,.500,16,29,.552,10,23,.435,10,11,.909,.633,1,15,16,10,1,2,0,0,3,7,72,27.2,26,8.2,Games List,tatumja01
143,Miles Bridges,CHO,2,2021-10-22,2021-10-24,,2,2,70,22,40,.550,15,26,.577,7,14,.500,11,12,.917,.685,7,9,16,2,5,1,0,0,1,3,62,27.5,28,11.5,Games List,bridgmi02
144,Zach LaVine,CHI,2,2021-10-20,2021-10-22,,2,2,67,22,36,.611,15,22,.682,7,14,.500,15,16,.938,.767,1,12,13,9,1,2,0,0,8,2,66,26.7,15,12.8,Games List,lavinza01
